namespace,action,decision,scope
microsoft.directory,microsoft.directory/groups.unified/members/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.unified/members/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.unified/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/members/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/owners/update.add,conditional,/
microsoft.directory,microsoft.directory/groups.unified/owners/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups.unified/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups.unified/restore,conditional,/
microsoft.directory,microsoft.directory/groups.unified/visibility/update,conditional,/
microsoft.directory,microsoft.directory/groups/allowAccessTo/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/allowAccessTo/update,notAllowed,/
microsoft.directory,microsoft.directory/groups/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/groups/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/groups/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/groups/appRoleAssignments/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/groups/appRoleAssignments/read,allowed,/
microsoft.directory,microsoft.directory/groups/appRoleAssignments/update,notAllowed,/
microsoft.directory,microsoft.directory/groupsAssignableToRoles/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/groupsAssignableToRoles/assignLicense,conditional,/
microsoft.directory,microsoft.directory/groupsAssignableToRoles/create,notAllowed,/
microsoft.directory,microsoft.directory/groupsAssignableToRoles/delete,conditional,/
microsoft.directory,microsoft.directory/groupsAssignableToRoles/reprocessLicenseAssignment,conditional,/
microsoft.directory,microsoft.directory/groupsAssignableToRoles/restore,conditional,/
microsoft.directory,microsoft.directory/groups/assignedLabels/update,conditional,/
microsoft.directory,microsoft.directory/groups/assignedLabels/update,conditional,/
microsoft.directory,microsoft.directory/groups/assignLicense,notAllowed,/
microsoft.directory,microsoft.directory/groups/basic/update,conditional,/
microsoft.directory,microsoft.directory/groups/classification/update,conditional,/
microsoft.directory,microsoft.directory/groups/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/groups/create,notAllowed,/
microsoft.directory,microsoft.directory/groups/delete,conditional,/
microsoft.directory,microsoft.directory/groups/dynamicMembershipRule/update,notAllowed,/
microsoft.directory,microsoft.directory/groupSettings/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/groupSettings/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/groupSettings/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/groupSettings/create,notAllowed,/
microsoft.directory,microsoft.directory/groupSettings/delete,notAllowed,/
microsoft.directory,microsoft.directory/groupSettings/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/groupSettingTemplates/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/groupSettingTemplates/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/groupSettingTemplates/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/groupType/update,conditional,/
